zipcode19,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate,COUNTY
501,33095,Patchogue,NY,301,East Long Island,NY,36103
544,33095,Patchogue,NY,301,East Long Island,NY,
1001,22058,Springfield,MA,230,Springfield,MA,25013
1002,22046,Northampton,MA,230,Springfield,MA,25011
1002,22046,Northampton,MA,230,Springfield,MA,25015
1003,22046,Northampton,MA,230,Springfield,MA,25015
1004,22046,Northampton,MA,230,Springfield,MA,25015
1005,22070,Worcester,MA,231,Worcester,MA,25027
1007,22063,Ware,MA,230,Springfield,MA,25015
1008,22066,Westfield,MA,230,Springfield,MA,25013
1008,22066,Westfield,MA,230,Springfield,MA,25003
1009,22049,Palmer,MA,230,Springfield,MA,25013
1010,22057,Southbridge,MA,231,Worcester,MA,25027
1010,22057,Southbridge,MA,231,Worcester,MA,25013
1011,22051,Pittsfield,MA,295,Albany,NY,25013
1011,22051,Pittsfield,MA,295,Albany,NY,25015
1012,22046,Northampton,MA,230,Springfield,MA,25015
1013,22058,Springfield,MA,230,Springfield,MA,25013
1014,22058,Springfield,MA,230,Springfield,MA,25013
1020,22058,Springfield,MA,230,Springfield,MA,25013
1021,22058,Springfield,MA,230,Springfield,MA,25013
1022,22023,Holyoke,MA,230,Springfield,MA,25013
1026,22046,Northampton,MA,230,Springfield,MA,25003
1026,22046,Northampton,MA,230,Springfield,MA,25015
1027,22046,Northampton,MA,230,Springfield,MA,25015
1028,22058,Springfield,MA,230,Springfield,MA,25013
1029,22020,Great Barrington,MA,230,Springfield,MA,25003
1030,22058,Springfield,MA,230,Springfield,MA,25013
1031,22063,Ware,MA,230,Springfield,MA,25027
1032,22046,Northampton,MA,230,Springfield,MA,25011
1032,22046,Northampton,MA,230,Springfield,MA,25015
1033,22023,Holyoke,MA,230,Springfield,MA,25015
1033,22023,Holyoke,MA,230,Springfield,MA,25013
1034,22066,Westfield,MA,230,Springfield,MA,25013
1035,22046,Northampton,MA,230,Springfield,MA,25015
1036,22058,Springfield,MA,230,Springfield,MA,25013
1037,22063,Ware,MA,230,Springfield,MA,25027
1038,22046,Northampton,MA,230,Springfield,MA,25015
1039,22021,Greenfield,MA,230,Springfield,MA,25015
1039,22021,Greenfield,MA,230,Springfield,MA,25011
1040,22023,Holyoke,MA,230,Springfield,MA,25013
1041,22023,Holyoke,MA,230,Springfield,MA,25013
1050,22066,Westfield,MA,230,Springfield,MA,25013
1050,22066,Westfield,MA,230,Springfield,MA,25015
1053,22046,Northampton,MA,230,Springfield,MA,25015
1054,22021,Greenfield,MA,230,Springfield,MA,25011
1056,22028,Ludlow,MA,230,Springfield,MA,25013
1057,22049,Palmer,MA,230,Springfield,MA,25013
1059,22046,Northampton,MA,230,Springfield,MA,25015
1060,22046,Northampton,MA,230,Springfield,MA,25015
1061,22046,Northampton,MA,230,Springfield,MA,25015
1062,22046,Northampton,MA,230,Springfield,MA,25015
1063,22046,Northampton,MA,230,Springfield,MA,25015
1066,22046,Northampton,MA,230,Springfield,MA,25015
1068,22070,Worcester,MA,231,Worcester,MA,25027
1069,22049,Palmer,MA,230,Springfield,MA,25015
1069,22049,Palmer,MA,230,Springfield,MA,25013
1070,22046,Northampton,MA,230,Springfield,MA,25015
1070,22046,Northampton,MA,230,Springfield,MA,25003
1070,22046,Northampton,MA,230,Springfield,MA,25011
1071,22066,Westfield,MA,230,Springfield,MA,25013
1072,22021,Greenfield,MA,230,Springfield,MA,25011
1073,22046,Northampton,MA,230,Springfield,MA,25015
1073,22046,Northampton,MA,230,Springfield,MA,25013
1074,22070,Worcester,MA,231,Worcester,MA,25027
1075,22023,Holyoke,MA,230,Springfield,MA,25015
1077,22066,Westfield,MA,230,Springfield,MA,25013
1079,22049,Palmer,MA,230,Springfield,MA,25013
1080,22049,Palmer,MA,230,Springfield,MA,25013
1081,22057,Southbridge,MA,231,Worcester,MA,25013
1082,22063,Ware,MA,230,Springfield,MA,25015
1082,22063,Ware,MA,230,Springfield,MA,25027
1082,22063,Ware,MA,230,Springfield,MA,25013
1083,22063,Ware,MA,230,Springfield,MA,25027
1084,22046,Northampton,MA,230,Springfield,MA,25015
1085,22066,Westfield,MA,230,Springfield,MA,25013
1086,22066,Westfield,MA,230,Springfield,MA,
1088,22046,Northampton,MA,230,Springfield,MA,25015
1089,22058,Springfield,MA,230,Springfield,MA,25013
1090,22058,Springfield,MA,230,Springfield,MA,25013
1092,22063,Ware,MA,230,Springfield,MA,25027
1093,22021,Greenfield,MA,230,Springfield,MA,25011
1094,22063,Ware,MA,230,Springfield,MA,25027
1095,22058,Springfield,MA,230,Springfield,MA,25013
1096,22046,Northampton,MA,230,Springfield,MA,25011
1096,22046,Northampton,MA,230,Springfield,MA,25015
1097,22066,Westfield,MA,230,Springfield,MA,25013
1098,22046,Northampton,MA,230,Springfield,MA,25015
1101,22058,Springfield,MA,230,Springfield,MA,25013
1102,22058,Springfield,MA,230,Springfield,MA,
1103,22058,Springfield,MA,230,Springfield,MA,25013
1104,22058,Springfield,MA,230,Springfield,MA,25013
1105,22058,Springfield,MA,230,Springfield,MA,25013
1106,22058,Springfield,MA,230,Springfield,MA,25013
1107,22058,Springfield,MA,230,Springfield,MA,25013
1108,22058,Springfield,MA,230,Springfield,MA,25013
1109,22058,Springfield,MA,230,Springfield,MA,25013
1111,22058,Springfield,MA,230,Springfield,MA,25013
1115,22058,Springfield,MA,230,Springfield,MA,25013
1116,22058,Springfield,MA,230,Springfield,MA,25013
1118,22058,Springfield,MA,230,Springfield,MA,25013
1119,22058,Springfield,MA,230,Springfield,MA,25013
1128,22058,Springfield,MA,230,Springfield,MA,25013
1129,22058,Springfield,MA,230,Springfield,MA,25013
1138,22058,Springfield,MA,230,Springfield,MA,25013
1139,22058,Springfield,MA,230,Springfield,MA,25013
1144,22058,Springfield,MA,230,Springfield,MA,25013
1151,22058,Springfield,MA,230,Springfield,MA,25013
1152,22058,Springfield,MA,230,Springfield,MA,25013
1199,22058,Springfield,MA,230,Springfield,MA,25013
1201,22051,Pittsfield,MA,295,Albany,NY,25003
1202,22051,Pittsfield,MA,295,Albany,NY,25003
1203,22051,Pittsfield,MA,295,Albany,NY,
1220,22045,North Adams,MA,230,Springfield,MA,25003
1222,22020,Great Barrington,MA,230,Springfield,MA,25003
1223,22051,Pittsfield,MA,295,Albany,NY,25003
1223,22051,Pittsfield,MA,295,Albany,NY,25013
1224,22051,Pittsfield,MA,295,Albany,NY,25003
1225,22051,Pittsfield,MA,295,Albany,NY,25003
1226,22051,Pittsfield,MA,295,Albany,NY,25003
1227,22051,Pittsfield,MA,295,Albany,NY,25003
1229,22051,Pittsfield,MA,295,Albany,NY,25003
1230,22020,Great Barrington,MA,230,Springfield,MA,25003
1235,22051,Pittsfield,MA,295,Albany,NY,25015
1235,22051,Pittsfield,MA,295,Albany,NY,25003
1236,22020,Great Barrington,MA,230,Springfield,MA,25003
1237,22051,Pittsfield,MA,295,Albany,NY,25003
